date,nOrders
09/10/2023 00:00:00,43
09/10/2023 01:00:00,25
09/10/2023 02:00:00,16
09/10/2023 03:00:00,5
09/10/2023 04:00:00,1
09/10/2023 05:00:00,1
09/10/2023 06:00:00,1
09/10/2023 07:00:00,50
09/10/2023 08:00:00,224
09/10/2023 09:00:00,404
09/10/2023 10:00:00,1230
09/10/2023 11:00:00,1576
09/10/2023 12:00:00,1215
09/10/2023 13:00:00,946
09/10/2023 14:00:00,886
09/10/2023 15:00:00,1231
09/10/2023 16:00:00,1919
09/10/2023 17:00:00,2584
09/10/2023 18:00:00,2478
09/10/2023 19:00:00,1558
09/10/2023 20:00:00,842
09/10/2023 21:00:00,384
09/10/2023 22:00:00,151
09/10/2023 23:00:00,48
10/10/2023 00:00:00,30
10/10/2023 01:00:00,26
10/10/2023 02:00:00,10
10/10/2023 03:00:00,3
10/10/2023 04:00:00,7
10/10/2023 05:00:00,1
10/10/2023 06:00:00,1
10/10/2023 07:00:00,48
10/10/2023 08:00:00,194
10/10/2023 09:00:00,378
10/10/2023 10:00:00,1288
10/10/2023 11:00:00,1560
10/10/2023 12:00:00,1044
10/10/2023 13:00:00,888
10/10/2023 14:00:00,864
10/10/2023 15:00:00,1149
10/10/2023 16:00:00,1855
10/10/2023 17:00:00,2595
10/10/2023 18:00:00,2544
10/10/2023 19:00:00,1597
10/10/2023 20:00:00,730
10/10/2023 21:00:00,372
10/10/2023 22:00:00,190
10/10/2023 23:00:00,56
11/10/2023 00:00:00,32
11/10/2023 01:00:00,24
11/10/2023 02:00:00,10
11/10/2023 04:00:00,4
11/10/2023 07:00:00,66
11/10/2023 08:00:00,182
11/10/2023 09:00:00,341
11/10/2023 10:00:00,1284
11/10/2023 11:00:00,1381
11/10/2023 12:00:00,1032
11/10/2023 13:00:00,831
11/10/2023 14:00:00,895
11/10/2023 15:00:00,1084
11/10/2023 16:00:00,1900
11/10/2023 17:00:00,2650
11/10/2023 18:00:00,2421
11/10/2023 19:00:00,1538
11/10/2023 20:00:00,755
11/10/2023 21:00:00,378
11/10/2023 22:00:00,172
11/10/2023 23:00:00,61
12/10/2023 00:00:00,18
12/10/2023 01:00:00,29
12/10/2023 02:00:00,14
12/10/2023 03:00:00,2
12/10/2023 04:00:00,1
12/10/2023 06:00:00,1
12/10/2023 07:00:00,40
12/10/2023 08:00:00,187
12/10/2023 09:00:00,392
12/10/2023 10:00:00,1476
12/10/2023 11:00:00,1659
12/10/2023 12:00:00,1223
12/10/2023 13:00:00,957
12/10/2023 14:00:00,987
12/10/2023 15:00:00,1235
12/10/2023 16:00:00,2042
12/10/2023 17:00:00,2762
12/10/2023 18:00:00,2721
12/10/2023 19:00:00,1635
12/10/2023 20:00:00,921
12/10/2023 21:00:00,400
12/10/2023 22:00:00,162
12/10/2023 23:00:00,51
13/10/2023 00:00:00,35
13/10/2023 01:00:00,34
13/10/2023 02:00:00,20
13/10/2023 03:00:00,2
13/10/2023 04:00:00,2
13/10/2023 05:00:00,1
13/10/2023 07:00:00,48
13/10/2023 08:00:00,211
13/10/2023 09:00:00,439
13/10/2023 10:00:00,1457
13/10/2023 11:00:00,1819
13/10/2023 12:00:00,1390
13/10/2023 13:00:00,1128
13/10/2023 14:00:00,1086
13/10/2023 15:00:00,1459
13/10/2023 16:00:00,2357
13/10/2023 17:00:00,3054
13/10/2023 18:00:00,2916
13/10/2023 19:00:00,2040
13/10/2023 20:00:00,1099
13/10/2023 21:00:00,595
13/10/2023 22:00:00,282
13/10/2023 23:00:00,181
14/10/2023 00:00:00,77
14/10/2023 01:00:00,29
14/10/2023 02:00:00,14
14/10/2023 03:00:00,5
14/10/2023 04:00:00,7
14/10/2023 05:00:00,2
14/10/2023 07:00:00,61
14/10/2023 08:00:00,237
14/10/2023 09:00:00,388
14/10/2023 10:00:00,914
14/10/2023 11:00:00,1188
14/10/2023 12:00:00,1288
14/10/2023 13:00:00,1149
14/10/2023 14:00:00,1126
14/10/2023 15:00:00,1516
14/10/2023 16:00:00,2020
14/10/2023 17:00:00,2683
14/10/2023 18:00:00,2594
14/10/2023 19:00:00,1920
14/10/2023 20:00:00,1099
14/10/2023 21:00:00,564
14/10/2023 22:00:00,269
14/10/2023 23:00:00,153
15/10/2023 00:00:00,93
15/10/2023 01:00:00,46
15/10/2023 02:00:00,24
15/10/2023 03:00:00,18
15/10/2023 04:00:00,6
15/10/2023 05:00:00,4
15/10/2023 07:00:00,55
15/10/2023 08:00:00,198
15/10/2023 09:00:00,420
15/10/2023 10:00:00,1042
15/10/2023 11:00:00,1538
15/10/2023 12:00:00,1701
15/10/2023 13:00:00,1674
15/10/2023 14:00:00,1686
15/10/2023 15:00:00,2338
15/10/2023 16:00:00,3300
15/10/2023 17:00:00,4161
15/10/2023 18:00:00,4146
15/10/2023 19:00:00,2423
15/10/2023 20:00:00,1183
15/10/2023 21:00:00,615
15/10/2023 22:00:00,224
15/10/2023 23:00:00,63
